occupation,hierarchy_level,mechanism_of_death,deaths,population
Elevator installers and repairers,3,Fall,0,27
Elevator installers and repairers,2,Poisoning,3,27
Elevator installers and repairers,3,Poisoning,3,27
Elevator installers and repairers,2,Struck by or against,3,27
Elevator installers and repairers,3,Struck by or against,3,27
Fence erectors,2,Total,4,31
Fence erectors,3,Total,4,31
Fence erectors,2,Cut/Pierce,0,31
Fence erectors,3,Cut/Pierce,0,31
Fence erectors,2,Motor Vehicle Traffic,0,31
Fence erectors,3,Motor Vehicle Traffic,0,31
Fence erectors,2,Fire/Flame,0,31
Fence erectors,3,Fire/Flame,0,31
Fence erectors,2,Fall,0,31
Fence erectors,3,Fall,0,31
Fence erectors,2,Poisoning,0,31
Fence erectors,3,Poisoning,0,31
Fence erectors,2,Struck by or against,0,31
Fence erectors,3,Struck by or against,0,31
Hazardous materials removal workers,2,Total,0,46
Hazardous materials removal workers,3,Total,0,46
Hazardous materials removal workers,2,Cut/Pierce,0,46
Hazardous materials removal workers,3,Cut/Pierce,0,46
Hazardous materials removal workers,2,Motor Vehicle Traffic,0,46
Hazardous materials removal workers,3,Motor Vehicle Traffic,0,46
Hazardous materials removal workers,2,Fire/Flame,1,46
Hazardous materials removal workers,3,Fire/Flame,1,46
Hazardous materials removal workers,2,Fall,0,46
Hazardous materials removal workers,3,Fall,0,46
Hazardous materials removal workers,2,Poisoning,0,46
Hazardous materials removal workers,3,Poisoning,0,46
Hazardous materials removal workers,2,Struck by or against,0,46
Hazardous materials removal workers,3,Struck by or against,0,46
Highway maintenance workers,2,Total,14,155
Highway maintenance workers,3,Total,14,155
Highway maintenance workers,2,Cut/Pierce,0,155
Highway maintenance workers,3,Cut/Pierce,0,155
Highway maintenance workers,2,Motor Vehicle Traffic,12,155
Highway maintenance workers,3,Motor Vehicle Traffic,12,155
Highway maintenance workers,2,Fire/Flame,0,155
Highway maintenance workers,3,Fire/Flame,0,155
Highway maintenance workers,2,Fall,1,155
Highway maintenance workers,3,Fall,1,155
Highway maintenance workers,2,Poisoning,0,155
Highway maintenance workers,3,Poisoning,0,155
Highway maintenance workers,2,Struck by or against,0,155
Highway maintenance workers,3,Struck by or against,0,155
Rail-track laying and maintenance equipment operators,2,Total,5,14
Rail-track laying and maintenance equipment operators,3,Total,5,14
Rail-track laying and maintenance equipment operators,2,Cut/Pierce,0,14
Rail-track laying and maintenance equipment operators,3,Cut/Pierce,0,14
Rail-track laying and maintenance equipment operators,2,Motor Vehicle Traffic,0,14
Rail-track laying and maintenance equipment operators,3,Motor Vehicle Traffic,0,14
Rail-track laying and maintenance equipment operators,2,Fire/Flame,1,14
Rail-track laying and maintenance equipment operators,3,Fire/Flame,1,14
Rail-track laying and maintenance equipment operators,2,Fall,0,14
Rail-track laying and maintenance equipment operators,3,Fall,0,14
Rail-track laying and maintenance equipment operators,2,Poisoning,0,14
Rail-track laying and maintenance equipment operators,3,Poisoning,0,14
Rail-track laying and maintenance equipment operators,2,Struck by or against,1,14
Rail-track laying and maintenance equipment operators,3,Struck by or against,1,14
Septic tank servicers and sewer pipe cleaners,2,Total,4,30
Septic tank servicers and sewer pipe cleaners,3,Total,4,30
Septic tank servicers and sewer pipe cleaners,2,Cut/Pierce,0,30
Septic tank servicers and sewer pipe cleaners,3,Cut/Pierce,0,30
Septic tank servicers and sewer pipe cleaners,2,Motor Vehicle Traffic,3,30
Septic tank servicers and sewer pipe cleaners,3,Motor Vehicle Traffic,3,30
Septic tank servicers and sewer pipe cleaners,2,Fire/Flame,0,30
Septic tank servicers and sewer pipe cleaners,3,Fire/Flame,0,30
Septic tank servicers and sewer pipe cleaners,2,Fall,0,30
Septic tank servicers and sewer pipe cleaners,3,Fall,0,30
Septic tank servicers and sewer pipe cleaners,2,Poisoning,0,30
Septic tank servicers and sewer pipe cleaners,3,Poisoning,0,30
Septic tank servicers and sewer pipe cleaners,2,Struck by or against,1,30
Septic tank servicers and sewer pipe cleaners,3,Struck by or against,1,30
Miscellaneous construction and related workers,2,Total,6,35
Miscellaneous construction and related workers,2,Cut/Pierce,0,35
Miscellaneous construction and related workers,2,Motor Vehicle Traffic,3,35
Miscellaneous construction and related workers,2,Fire/Flame,0,35
Miscellaneous construction and related workers,2,Fall,0,35
Miscellaneous construction and related workers,2,Poisoning,0,35
Miscellaneous construction and related workers,2,Struck by or against,0,35
Extraction workers,1,Total,64,223
Extraction workers,1,Cut/Pierce,3,223
Extraction workers,1,Motor Vehicle Traffic,19,223
Extraction workers,1,Fire/Flame,7,223
Extraction workers,1,Fall,4,223
Extraction workers,1,Poisoning,6,223
Extraction workers,1,Struck by or against,25,223
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Total,20,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Cut/Pierce,0,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Motor Vehicle Traffic,6,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Fire/Flame,0,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Fall,0,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Poisoning,0,84
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",2,Struck by or against,6,84
"Derrick operators, oil and gas",3,Total,7,12
"Derrick operators, oil and gas",3,Cut/Pierce,0,12
"Derrick operators, oil and gas",3,Motor Vehicle Traffic,0,12
"Derrick operators, oil and gas",3,Fire/Flame,0,12
"Derrick operators, oil and gas",3,Fall,0,12
"Derrick operators, oil and gas",3,Poisoning,0,12
"Derrick operators, oil and gas",3,Struck by or against,0,12
"Rotary drill operators, oil and gas",3,Total,7,19
"Rotary drill operators, oil and gas",3,Cut/Pierce,0,19
"Rotary drill operators, oil and gas",3,Motor Vehicle Traffic,0,19
"Rotary drill operators, oil and gas",3,Fire/Flame,0,19
"Rotary drill operators, oil and gas",3,Fall,0,19
"Rotary drill operators, oil and gas",3,Poisoning,0,19
"Rotary drill operators, oil and gas",3,Struck by or against,0,19
"Service unit operators, oil, gas, and mining",3,Total,6,53
"Service unit operators, oil, gas, and mining",3,Cut/Pierce,0,53
"Service unit operators, oil, gas, and mining",3,Motor Vehicle Traffic,3,53
"Service unit operators, oil, gas, and mining",3,Fire/Flame,0,53
"Service unit operators, oil, gas, and mining",3,Fall,0,53
"Service unit operators, oil, gas, and mining",3,Poisoning,0,53
"Service unit operators, oil, gas, and mining",3,Struck by or against,0,53
"Earth drillers, except oil and gas",2,Total,10,19
"Earth drillers, except oil and gas",3,Total,10,19
"Earth drillers, except oil and gas",2,Cut/Pierce,0,19
"Earth drillers, except oil and gas",3,Cut/Pierce,0,19
"Earth drillers, except oil and gas",2,Motor Vehicle Traffic,3,19
"Earth drillers, except oil and gas",3,Motor Vehicle Traffic,3,19
"Earth drillers, except oil and gas",2,Fire/Flame,0,19
"Earth drillers, except oil and gas",3,Fire/Flame,0,19
"Earth drillers, except oil and gas",2,Fall,0,19
"Earth drillers, except oil and gas",3,Fall,0,19
"Earth drillers, except oil and gas",2,Poisoning,0,19
"Earth drillers, except oil and gas",3,Poisoning,0,19
"Earth drillers, except oil and gas",2,Struck by or against,4,19
"Earth drillers, except oil and gas",3,Struck by or against,4,19
"Explosives workers, ordnance handling experts, and blasters",2,Total,1,6
"Explosives workers, ordnance handling experts, and blasters",3,Total,1,6
"Explosives workers, ordnance handling experts, and blasters",2,Cut/Pierce,0,6
"Explosives workers, ordnance handling experts, and blasters",3,Cut/Pierce,0,6
"Explosives workers, ordnance handling experts, and blasters",2,Motor Vehicle Traffic,0,6
"Explosives workers, ordnance handling experts, and blasters",3,Motor Vehicle Traffic,0,6
"Explosives workers, ordnance handling experts, and blasters",2,Fire/Flame,0,6
"Explosives workers, ordnance handling experts, and blasters",3,Fire/Flame,0,6
"Explosives workers, ordnance handling experts, and blasters",2,Fall,0,6
"Explosives workers, ordnance handling experts, and blasters",3,Fall,0,6
"Explosives workers, ordnance handling experts, and blasters",2,Poisoning,0,6
"Explosives workers, ordnance handling experts, and blasters",3,Poisoning,0,6
"Explosives workers, ordnance handling experts, and blasters",2,Struck by or against,1,6
"Explosives workers, ordnance handling experts, and blasters",3,Struck by or against,1,6
Mining machine operators,2,Total,9,24
Mining machine operators,2,Cut/Pierce,0,24
Mining machine operators,2,Motor Vehicle Traffic,0,24
Mining machine operators,2,Fire/Flame,1,24
Mining machine operators,2,Fall,1,24
Mining machine operators,2,Poisoning,1,24
Mining machine operators,2,Struck by or against,6,24
Continuous mining machine operators,3,Total,1,15
Continuous mining machine operators,3,Cut/Pierce,0,15
Continuous mining machine operators,3,Motor Vehicle Traffic,0,15
Continuous mining machine operators,3,Fire/Flame,0,15
Continuous mining machine operators,3,Fall,0,15
Continuous mining machine operators,3,Poisoning,0,15
Continuous mining machine operators,3,Struck by or against,1,15
Mine cutting and channeling machine operators,3,Total,3,5
Mine cutting and channeling machine operators,3,Cut/Pierce,0,5
Mine cutting and channeling machine operators,3,Motor Vehicle Traffic,0,5
Mine cutting and channeling machine operators,3,Fire/Flame,1,5
Mine cutting and channeling machine operators,3,Fall,0,5
Mine cutting and channeling machine operators,3,Poisoning,1,5
Mine cutting and channeling machine operators,3,Struck by or against,1,5
"Roustabouts, oil and gas",2,Total,15,58
"Roustabouts, oil and gas",3,Total,15,58
"Roustabouts, oil and gas",2,Cut/Pierce,0,58
"Roustabouts, oil and gas",3,Cut/Pierce,0,58
"Roustabouts, oil and gas",2,Motor Vehicle Traffic,7,58
"Roustabouts, oil and gas",3,Motor Vehicle Traffic,7,58
"Roustabouts, oil and gas",2,Fire/Flame,0,58
"Roustabouts, oil and gas",3,Fire/Flame,0,58
"Roustabouts, oil and gas",2,Fall,0,58
"Roustabouts, oil and gas",3,Fall,0,58
"Roustabouts, oil and gas",2,Poisoning,0,58
"Roustabouts, oil and gas",3,Poisoning,0,58
"Roustabouts, oil and gas",2,Struck by or against,3,58
"Roustabouts, oil and gas",3,Struck by or against,3,58
Helpers--extraction workers,2,Total,4,17
Helpers--extraction workers,3,Total,4,17
Helpers--extraction workers,2,Cut/Pierce,0,17
Helpers--extraction workers,3,Cut/Pierce,0,17
Helpers--extraction workers,2,Motor Vehicle Traffic,0,17
Helpers--extraction workers,3,Motor Vehicle Traffic,0,17
Helpers--extraction workers,2,Fire/Flame,0,17
Helpers--extraction workers,3,Fire/Flame,0,17
Helpers--extraction workers,2,Fall,0,17
Helpers--extraction workers,3,Fall,0,17
Helpers--extraction workers,2,Poisoning,0,17
Helpers--extraction workers,3,Poisoning,0,17
Helpers--extraction workers,2,Struck by or against,3,17
Helpers--extraction workers,3,Struck by or against,3,17
"Installation, maintenance, and repair occupations",0,Total,420,"6,108"
"Installation, maintenance, and repair occupations",0,Cut/Pierce,62,"6,108"
"Installation, maintenance, and repair occupations",0,Motor Vehicle Traffic,104,"6,108"
"Installation, maintenance, and repair occupations",0,Fire/Flame,21,"6,108"
"Installation, maintenance, and repair occupations",0,Fall,54,"6,108"
"Installation, maintenance, and repair occupations",0,Poisoning,65,"6,108"
"Installation, maintenance, and repair occupations",0,Struck by or against,114,"6,108"
"Supervisors of installation, maintenance, and repair workers",1,Total,46,487
"Supervisors of installation, maintenance, and repair workers",1,Cut/Pierce,18,487
"Supervisors of installation, maintenance, and repair workers",1,Motor Vehicle Traffic,6,487
"Supervisors of installation, maintenance, and repair workers",1,Fire/Flame,1,487
"Supervisors of installation, maintenance, and repair workers",1,Fall,5,487
"Supervisors of installation, maintenance, and repair workers",1,Poisoning,6,487
"Supervisors of installation, maintenance, and repair workers",1,Struck by or against,10,487
"First-line supervisors of mechanics, installers, and repairers",2,Total,46,487
"First-line supervisors of mechanics, installers, and repairers",3,Total,46,487
"First-line supervisors of mechanics, installers, and repairers",2,Cut/Pierce,18,487
"First-line supervisors of mechanics, installers, and repairers",3,Cut/Pierce,18,487
"First-line supervisors of mechanics, installers, and repairers",2,Motor Vehicle Traffic,6,487
"First-line supervisors of mechanics, installers, and repairers",3,Motor Vehicle Traffic,6,487
"First-line supervisors of mechanics, installers, and repairers",2,Fire/Flame,1,487
"First-line supervisors of mechanics, installers, and repairers",3,Fire/Flame,1,487
"First-line supervisors of mechanics, installers, and repairers",2,Fall,5,487
"First-line supervisors of mechanics, installers, and repairers",3,Fall,5,487
"First-line supervisors of mechanics, installers, and repairers",2,Poisoning,6,487
"First-line supervisors of mechanics, installers, and repairers",3,Poisoning,6,487
"First-line supervisors of mechanics, installers, and repairers",2,Struck by or against,10,487
"First-line supervisors of mechanics, installers, and repairers",3,Struck by or against,10,487
"Electrical and electronic equipment mechanics, installers, and repairers",1,Total,28,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Cut/Pierce,0,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Motor Vehicle Traffic,13,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Fire/Flame,0,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Fall,5,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Poisoning,6,614
"Electrical and electronic equipment mechanics, installers, and repairers",1,Struck by or against,0,614
Radio and telecommunications equipment installers and repairers,2,Total,9,247
Radio and telecommunications equipment installers and repairers,2,Cut/Pierce,0,247
Radio and telecommunications equipment installers and repairers,2,Motor Vehicle Traffic,3,247
Radio and telecommunications equipment installers and repairers,2,Fire/Flame,0,247
Radio and telecommunications equipment installers and repairers,2,Fall,4,247
Radio and telecommunications equipment installers and repairers,2,Poisoning,0,247
Radio and telecommunications equipment installers and repairers,2,Struck by or against,0,247
"Radio, cellular, and tower equipment installers and repairers",3,Total,4,14
"Radio, cellular, and tower equipment installers and repairers",3,Cut/Pierce,0,14
"Radio, cellular, and tower equipment installers and repairers",3,Motor Vehicle Traffic,0,14
"Radio, cellular, and tower equipment installers and repairers",3,Fire/Flame,0,14
